"Date","Price","Open","High","Low","Vol.","Change %"
"11-07-2025","83.79","81.19","83.93","81.19","1.61M","0.61%"
"10-07-2025","83.28","83.63","83.63","82.87","1.81M","0.82%"
"09-07-2025","82.60","82.20","85.44","82.20","2.05M","-0.91%"
"08-07-2025","83.36","83.50","84.12","83.24","1.73M","0.29%"
"07-07-2025","83.12","85.54","85.54","82.64","866.94K","-0.41%"
"04-07-2025","83.46","84.05","84.05","83.23","3.43M","-0.18%"
"03-07-2025","83.61","81.67","84.33","81.67","2.38M","-0.19%"
"02-07-2025","83.77","86.17","86.17","82.83","1.65M","0.13%"
"01-07-2025","83.66","85.01","85.01","83.02","2.11M","1.37%"
"30-06-2025","82.53","84.42","84.42","81.86","3.49M","0.19%"
"27-06-2025","82.37","83.14","83.14","82.20","3.36M","-1.62%"
"26-06-2025","83.73","83.53","84.43","83.49","1.39M","0.08%"
"25-06-2025","83.66","81.54","84.86","81.54","1.84M","0.02%"
"24-06-2025","83.64","87.36","87.36","83.35","2.82M","-1.87%"
"23-06-2025","85.23","85.50","85.50","84.92","1.79M","0.38%"
"20-06-2025","84.91","85.50","85.50","84.55","1.39M","-0.50%"
"19-06-2025","85.34","83.31","85.45","83.31","4.28M","-0.13%"
"18-06-2025","85.45","87.34","87.34","84.41","1.66M","0.28%"
"17-06-2025","85.21","87.88","87.88","84.81","2.49M","-0.62%"
"16-06-2025","85.74","87.91","87.91","84.00","2.85M","-0.03%"
"13-06-2025","85.77","85.01","86.17","85.01","3.20M","2.02%"
"12-06-2025","84.07","84.95","84.95","83.41","4.50M","0.79%"
"11-06-2025","83.41","83.50","83.50","83.12","1.52M","0.39%"
"10-06-2025","83.09","85.09","85.09","82.51","2.71M","0.08%"
"09-06-2025","83.02","82.20","83.39","82.03","3.00M","-0.94%"
"06-06-2025","83.81","85.50","85.50","83.61","6.12M","-0.75%"
"05-06-2025","84.44","84.00","85.96","83.75","8.75M","0.68%"
"04-06-2025","83.87","85.65","85.65","83.45","4.89M","0.36%"
"03-06-2025","83.57","83.23","84.63","83.23","5.22M","0.57%"
"02-06-2025","83.10","82.49","83.20","82.01","2.75M","1.13%"
"30-05-2025","82.17","81.95","82.21","81.60","3.90M","0.70%"
"29-05-2025","81.60","85.06","85.06","81.42","2.54M","-1.19%"
"28-05-2025","82.58","82.01","82.62","82.01","1.58M","0.71%"
"27-05-2025","82.00","82.95","82.95","81.92","1.58M","-0.49%"
"26-05-2025","82.40","82.50","82.99","81.90","1.71M","0.30%"
"23-05-2025","82.15","82.45","82.45","81.90","1.59M","-0.29%"
"22-05-2025","82.39","82.80","82.80","82.21","1.30M","0.37%"
"21-05-2025","82.09","82.05","82.34","81.72","2.07M","1.96%"
"20-05-2025","80.51","80.80","80.99","80.07","6.12M","-0.36%"
"19-05-2025","80.80","80.25","81.04","80.03","1.48M","0.69%"
"16-05-2025","80.25","80.01","80.94","80.01","2.33M","0.92%"
"15-05-2025","79.52","80.31","80.31","78.90","4.68M","-1.98%"
"14-05-2025","81.13","81.59","81.59","80.65","12.00M","-0.59%"
"13-05-2025","81.61","81.00","81.85","80.50","2.26M","1.40%"
"12-05-2025","80.48","82.49","82.50","80.31","3.06M","-3.35%"
"09-05-2025","83.27","82.52","83.64","82.52","2.36M","-0.26%"
"08-05-2025","83.49","83.85","84.50","82.48","2.72M","-0.42%"
"07-05-2025","83.84","84.50","84.60","83.57","3.90M","-0.49%"
"06-05-2025","84.25","85.36","85.36","83.20","3.22M","1.67%"
"05-05-2025","82.87","83.81","83.81","80.76","1.80M","1.84%"
"02-05-2025","81.37","81.51","81.90","80.32","4.84M","-0.39%"
"30-04-2025","81.69","83.19","83.19","81.51","4.80M","-1.20%"
"29-04-2025","82.68","82.10","83.00","82.10","3.32M","1.26%"
"28-04-2025","81.65","82.63","82.63","81.51","1.43M","-1.07%"
"25-04-2025","82.53","83.00","83.27","82.14","1.69M","-0.53%"
"24-04-2025","82.97","84.33","84.33","82.54","1.14M","0.16%"
"23-04-2025","82.84","84.83","84.83","82.16","4.65M","-2.66%"
"22-04-2025","85.10","85.25","86.04","84.75","3.99M","2.05%"
"21-04-2025","83.39","80.15","84.40","79.50","9.86M","1.74%"
"17-04-2025","81.96","82.37","82.50","81.61","2.77M","0.43%"
"16-04-2025","81.61","82.65","82.65","80.67","2.45M","1.68%"
"15-04-2025","80.26","80.40","80.68","79.81","1.80M","0.20%"
"11-04-2025","80.10","79.50","81.91","79.40","8.15M","3.70%"
"09-04-2025","77.24","76.50","77.39","75.90","1.92M","1.81%"
"08-04-2025","75.87","76.10","76.10","75.25","4.80M","-0.29%"
"07-04-2025","76.09","77.00","77.20","70.10","16.20M","-1.86%"
"04-04-2025","77.53","78.45","78.45","77.05","6.88M","-1.13%"
"03-04-2025","78.42","78.57","79.20","78.25","5.54M","-0.19%"
"02-04-2025","78.57","79.45","79.45","78.15","2.82M","-0.34%"
"01-04-2025","78.84","78.64","79.00","77.91","3.61M","2.50%"
"28-03-2025","76.92","76.45","77.29","76.05","1.54M","1.00%"
"27-03-2025","76.16","75.60","76.25","75.60","6.99M","0.81%"
"26-03-2025","75.55","77.95","77.95","75.20","1.89M","-0.20%"
"25-03-2025","75.70","75.60","75.78","75.23","3.61M","0.07%"
"24-03-2025","75.65","78.55","78.55","75.18","1.80M","-0.83%"
"21-03-2025","76.28","76.60","76.65","76.05","2.38M","-0.57%"
"20-03-2025","76.72","76.90","76.90","76.43","6.29M","0.47%"
"19-03-2025","76.36","76.03","76.88","76.03","3.34M","0.08%"
"18-03-2025","76.30","76.35","76.44","75.93","2.32M","0.79%"
"17-03-2025","75.70","76.24","76.24","75.40","2.24M","1.08%"
"13-03-2025","74.89","74.44","75.20","74.44","5.25M","0.55%"
"12-03-2025","74.48","74.95","74.95","74.30","3.22M","0.20%"
"11-03-2025","74.33","76.55","76.55","72.78","2.01M","0.01%"
"10-03-2025","74.32","74.39","74.66","74.07","1.99M","-0.13%"
"07-03-2025","74.42","74.95","74.95","74.25","1.97M","0.24%"
"06-03-2025","74.24","74.70","74.71","74.10","2.36M","-0.44%"
"05-03-2025","74.57","72.35","74.95","72.35","1.88M","-0.01%"
"04-03-2025","74.58","75.75","75.75","73.41","2.43M","1.44%"
"03-03-2025","73.52","73.74","73.74","73.00","2.57M","0.49%"
"28-02-2025","73.16","76.25","76.25","72.72","2.84M","-1.20%"
"27-02-2025","74.05","77.30","77.30","72.80","2.35M","-1.33%"
"25-02-2025","75.05","77.05","77.05","74.62","2.08M","0.29%"
"24-02-2025","74.83","74.60","74.90","74.43","2.81M","0.31%"
"21-02-2025","74.60","74.55","75.09","74.00","3.91M","-0.27%"
"20-02-2025","74.80","75.24","75.25","74.42","2.52M","-0.29%"
"19-02-2025","75.02","75.50","75.50","74.30","923.15K","0.98%"
"18-02-2025","74.29","74.49","74.61","73.89","4.95M","0.54%"
"17-02-2025","73.89","76.80","76.80","73.01","3.11M","-0.89%"
"14-02-2025","74.55","74.21","74.80","74.17","2.04M","0.49%"
"13-02-2025","74.19","74.44","74.59","73.89","2.19M","0.68%"
"12-02-2025","73.69","74.20","76.45","73.25","2.89M","-0.74%"
"11-02-2025","74.24","75.95","75.95","74.00","6.05M","-0.38%"
"10-02-2025","74.52","75.80","75.80","73.91","3.83M","1.29%"
"07-02-2025","73.57","73.89","73.89","73.20","7.51M","0.01%"
"06-02-2025","73.56","75.70","75.70","73.11","3.46M","0.10%"
"05-02-2025","73.49","72.88","73.67","72.65","2.91M","1.79%"
"04-02-2025","72.20","73.90","73.90","71.70","3.33M","0.66%"
"03-02-2025","71.73","71.95","71.95","70.92","3.68M","0.80%"
"01-02-2025","71.16","71.29","72.13","70.82","1.07M","0.23%"
"31-01-2025","71.00","71.20","71.20","70.69","3.88M","1.11%"
"30-01-2025","70.22","70.30","70.30","69.88","1.37M","0.37%"
"29-01-2025","69.96","69.29","70.70","69.29","1.02M","0.45%"
"28-01-2025","69.65","69.50","69.75","69.43","1.77M","-0.20%"
"27-01-2025","69.79","69.95","70.03","69.46","3.61M","-0.01%"
"24-01-2025","69.80","70.19","70.20","69.67","8.08M","0.49%"
"23-01-2025","69.46","69.99","69.99","69.44","2.34M","-0.46%"
"22-01-2025","69.78","69.56","69.95","69.41","1.84M","0.87%"
"21-01-2025","69.18","68.89","69.27","68.56","1.01M","0.33%"
"20-01-2025","68.95","68.83","69.10","68.35","1.16M","0.13%"
"17-01-2025","68.86","70.75","70.75","68.67","1.15M","0.22%"
"16-01-2025","68.71","68.59","68.80","68.28","1.64M","0.69%"
"15-01-2025","68.24","68.29","68.29","67.93","1.50M","0.26%"
"14-01-2025","68.06","68.10","68.16","67.74","1.66M","-0.21%"
"13-01-2025","68.20","68.19","68.35","67.71","1.92M","0.65%"
"10-01-2025","67.76","68.44","68.44","67.37","1.41M","0.47%"
"09-01-2025","67.44","67.16","67.77","67.16","4.14M","0.42%"
"08-01-2025","67.16","66.70","67.18","66.70","2.83M","0.55%"
"07-01-2025","66.79","66.59","66.85","66.56","1.54M","0.27%"
"06-01-2025","66.61","68.09","68.09","66.40","1.50M","-0.72%"
"03-01-2025","67.09","66.83","67.34","66.83","1.11M","0.72%"
"02-01-2025","66.61","66.38","66.70","66.35","1.66M","0.35%"
"01-01-2025","66.38","66.12","66.44","66.12","2.19M","0.47%"
"31-12-2024","66.07","66.01","66.10","65.61","1.51M","-0.06%"
"30-12-2024","66.11","65.81","66.40","65.81","1.21M","-0.08%"
"27-12-2024","66.16","67.36","67.85","66.00","1.79M","0.46%"
"26-12-2024","65.86","66.13","66.14","65.81","677.07K","0.35%"
"24-12-2024","65.63","65.91","65.92","65.53","938.61K","-0.42%"
"23-12-2024","65.91","67.35","67.97","65.21","1.63M","0.83%"
"20-12-2024","65.37","65.54","65.55","65.25","3.34M","-0.65%"
"19-12-2024","65.80","65.84","65.99","65.35","1.02M","-0.83%"
"18-12-2024","66.35","66.30","66.56","66.15","775.84K","0.12%"
"17-12-2024","66.27","68.45","68.45","66.10","2.32M","-0.30%"
"16-12-2024","66.47","66.55","66.55","66.12","1.29M","-0.26%"
"13-12-2024","66.64","67.64","67.64","66.58","1.15M","-1.48%"
"12-12-2024","67.64","67.80","67.80","67.11","1.02M","0.58%"
"11-12-2024","67.25","67.00","67.75","67.00","2.05M","0.84%"
"10-12-2024","66.69","66.53","67.92","66.45","2.29M","0.62%"
"09-12-2024","66.28","65.25","66.35","64.46","1.03M","0.49%"
"06-12-2024","65.96","65.95","66.04","65.62","1.30M","-0.23%"
"05-12-2024","66.11","66.10","66.25","65.97","1.15M","0.18%"
"04-12-2024","65.99","66.28","66.29","65.90","1.08M","-0.14%"
"03-12-2024","66.08","65.92","66.25","65.91","1.96M","0.30%"
"02-12-2024","65.88","64.35","66.19","64.35","1.23M","-0.66%"
"29-11-2024","66.32","66.53","66.53","66.04","1.04M","0.48%"
"28-11-2024","66.00","68.00","68.00","65.52","1.15M","-0.03%"
"27-11-2024","66.02","65.79","66.06","65.49","2.34M","0.92%"
"26-11-2024","65.42","66.40","66.40","64.12","1.53M","-1.55%"
"25-11-2024","66.45","67.05","67.11","66.12","1.58M","-1.37%"
"22-11-2024","67.37","67.30","67.51","66.78","3.27M","1.29%"
"21-11-2024","66.51","66.76","66.76","65.65","2.82M","1.40%"
"19-11-2024","65.59","64.83","65.65","64.83","1.68M","1.38%"
"18-11-2024","64.70","65.65","65.65","64.31","2.05M","1.52%"
"14-11-2024","63.73","64.50","64.50","63.60","2.15M","-2.00%"
"13-11-2024","65.03","64.89","65.25","64.63","1.05M","0.71%"
"12-11-2024","64.57","65.89","65.90","63.61","9.33M","-2.89%"
"11-11-2024","66.49","66.80","66.90","66.36","1.80M","-0.61%"
"08-11-2024","66.90","67.16","67.19","66.67","1.85M","1.03%"
"07-11-2024","66.22","67.00","67.00","65.91","2.96M","-2.16%"
"06-11-2024","67.68","68.00","68.72","66.27","2.11M","-0.50%"
"05-11-2024","68.02","67.94","68.08","67.62","2.03M","0.04%"
