"Date","Price","Open","High","Low","Vol.","Change %"
"20-03-2025","75.04","74.70","75.40","74.70","1.45M","0.47%"
"19-03-2025","74.69","74.40","75.30","74.33","637.96K","0.15%"
"18-03-2025","74.58","73.98","74.80","73.98","2.00M","0.82%"
"17-03-2025","73.97","74.80","74.80","73.70","485.19K","0.89%"
"13-03-2025","73.32","72.90","73.95","72.90","1.37M","0.58%"
"12-03-2025","72.90","72.53","73.45","72.52","3.96M","0.55%"
"11-03-2025","72.50","72.50","72.62","72.12","1.42M","-0.23%"
"10-03-2025","72.67","72.73","73.30","72.30","930.72K","-0.08%"
"07-03-2025","72.73","72.64","72.82","72.07","736.77K","0.51%"
"06-03-2025","72.36","74.85","74.85","72.12","1.08M","-0.41%"
"05-03-2025","72.66","72.70","72.85","72.36","11.68M","-0.07%"
"04-03-2025","72.71","71.76","72.89","71.51","2.26M","1.27%"
"03-03-2025","71.80","71.46","72.00","71.11","746.49K","0.48%"
"28-02-2025","71.46","72.19","72.20","71.20","1.34M","-1.12%"
"27-02-2025","72.27","72.90","73.20","72.00","1.71M","-1.47%"
"25-02-2025","73.35","73.16","73.49","73.00","1.27M","0.27%"
"24-02-2025","73.15","72.63","73.45","72.03","2.21M","0.72%"
"21-02-2025","72.63","72.99","73.00","72.33","3.14M","-0.63%"
"20-02-2025","73.09","75.55","75.55","72.63","1.19M","-0.34%"
"19-02-2025","73.34","72.71","74.00","72.71","537.57K","1.17%"
"18-02-2025","72.49","72.95","72.95","71.81","2.72M","0.50%"
"17-02-2025","72.13","72.49","72.60","71.80","570.25K","-1.08%"
"14-02-2025","72.92","72.39","73.19","72.39","721.85K","0.73%"
"13-02-2025","72.39","71.97","72.89","71.96","3.83M","0.58%"
"12-02-2025","71.97","74.55","74.55","71.54","1.41M","-0.58%"
"11-02-2025","72.39","71.86","73.48","71.86","1.88M","-0.60%"
"10-02-2025","72.83","72.05","72.99","72.05","2.92M","1.22%"
"07-02-2025","71.95","71.85","75.00","71.71","449.69K","0.29%"
"06-02-2025","71.74","71.96","72.15","71.32","1.74M","-0.28%"
"05-02-2025","71.94","71.16","72.24","71.15","1.27M","2.04%"
"04-02-2025","70.50","70.03","70.79","70.03","610.56K","0.66%"
"03-02-2025","70.04","69.28","70.38","69.11","1.37M","0.95%"
"01-02-2025","69.38","69.51","70.51","69.01","1.33M","-0.19%"
"31-01-2025","69.51","68.65","69.62","68.55","625.14K","1.25%"
"30-01-2025","68.65","68.41","69.00","68.30","407.07K","0.35%"
"29-01-2025","68.41","68.36","68.70","68.21","484.19K","0.51%"
"28-01-2025","68.06","68.45","68.45","67.85","514.39K","-0.23%"
"27-01-2025","68.22","68.16","68.45","67.84","509.12K","0.09%"
"24-01-2025","68.16","68.79","68.79","68.06","630.13K","0.19%"
"23-01-2025","68.03","68.14","68.43","67.81","603.31K","-0.18%"
"22-01-2025","68.15","67.71","68.30","67.71","1.20M","1.04%"
"21-01-2025","67.45","67.24","67.62","67.08","283.66K","0.31%"
"20-01-2025","67.24","67.29","67.40","66.93","681.41K","-0.07%"
"17-01-2025","67.29","68.08","68.08","66.81","546.40K","0.31%"
"16-01-2025","67.08","67.49","67.49","66.53","694.26K","0.52%"
"15-01-2025","66.73","66.50","66.75","66.26","590.34K","0.65%"
"14-01-2025","66.30","66.03","66.50","66.02","633.53K","-0.11%"
"13-01-2025","66.37","66.31","66.75","66.21","905.90K","0.24%"
"10-01-2025","66.21","67.75","67.75","64.77","1.05M","0.67%"
"09-01-2025","65.77","67.55","67.55","65.65","144.32K","0.31%"
"08-01-2025","65.57","65.18","65.66","65.18","899.47K","0.58%"
"07-01-2025","65.19","65.08","65.39","64.92","1.13M","0.17%"
"06-01-2025","65.08","65.51","65.80","64.60","516.42K","-0.66%"
"03-01-2025","65.51","66.30","66.30","65.11","590.18K","0.61%"
"02-01-2025","65.11","64.94","65.40","64.84","1.53M","0.26%"
"01-01-2025","64.94","64.54","64.99","64.54","184.97K","0.62%"
"31-12-2024","64.54","64.40","64.58","64.17","430.46K","0.20%"
"30-12-2024","64.41","64.65","65.19","64.30","189.06K","-0.37%"
"27-12-2024","64.65","64.55","65.07","64.53","588.79K","0.15%"
"26-12-2024","64.55","64.17","64.78","64.17","2.01M","0.59%"
"24-12-2024","64.17","64.39","64.39","64.03","420.13K","-0.43%"
"23-12-2024","64.45","65.75","65.75","63.77","364.35K","0.99%"
"20-12-2024","63.82","63.99","63.99","63.70","289.75K","-0.59%"
"19-12-2024","64.20","63.51","64.73","63.51","412.37K","-0.96%"
"18-12-2024","64.82","65.40","65.40","64.30","630.51K","0.36%"
"17-12-2024","64.59","65.00","65.14","64.53","878.33K","-0.65%"
"16-12-2024","65.01","64.90","66.37","64.50","501.29K","-0.14%"
"13-12-2024","65.10","66.27","66.27","65.01","289.32K","-1.50%"
"12-12-2024","66.09","65.99","66.15","65.71","260.77K","0.73%"
"11-12-2024","65.61","66.95","66.95","65.36","994.96K","0.74%"
"10-12-2024","65.13","65.70","65.70","64.70","879.99K","0.66%"
"09-12-2024","64.70","64.47","65.00","64.30","147.90K","0.36%"
"06-12-2024","64.47","64.40","64.54","64.06","281.17K","-0.14%"
"05-12-2024","64.56","64.52","64.99","64.47","210.76K","0.06%"
"04-12-2024","64.52","64.60","64.88","64.32","520.39K","-0.14%"
"03-12-2024","64.61","64.37","64.95","64.34","699.00K","0.37%"
"02-12-2024","64.37","64.49","64.49","63.82","779.95K","-0.42%"
"29-11-2024","64.64","64.45","65.50","64.45","299.49K","0.29%"
"28-11-2024","64.45","64.42","64.52","63.86","143.03K","-0.08%"
"27-11-2024","64.50","63.83","64.52","63.83","385.43K","1.19%"
"26-11-2024","63.74","64.19","64.20","63.42","449.07K","-1.74%"
"25-11-2024","64.87","65.40","65.40","64.55","916.88K","-1.11%"
"22-11-2024","65.60","64.93","65.89","64.93","901.62K","1.03%"
"21-11-2024","64.93","64.46","64.98","64.40","517.03K","1.25%"
"19-11-2024","64.13","63.26","64.50","63.26","533.84K","1.38%"
"18-11-2024","63.26","62.55","63.59","62.33","820.25K","1.49%"
"14-11-2024","62.33","62.99","63.20","62.07","665.96K","-2.15%"
"13-11-2024","63.70","63.36","65.17","63.36","699.37K","0.55%"
"12-11-2024","63.35","64.38","64.40","63.23","332.05K","-2.51%"
"11-11-2024","64.98","65.35","65.44","64.91","362.24K","-0.75%"
"08-11-2024","65.47","65.21","66.50","65.21","264.56K","1.02%"
"07-11-2024","64.81","65.30","65.30","64.45","1.17M","-1.92%"
"06-11-2024","66.08","66.11","66.65","65.30","861.67K","-0.59%"
"05-11-2024","66.47","66.12","66.48","66.08","933.77K","0.15%"
"04-11-2024","66.37","66.98","67.20","66.15","1.31M","-0.91%"
"01-11-2024","66.98","67.25","67.25","66.30","505.19K","-0.40%"
"31-10-2024","67.25","67.99","67.99","67.13","911.43K","-0.12%"
"30-10-2024","67.33","67.80","68.45","66.89","1.57M","0.94%"
"29-10-2024","66.70","66.97","66.97","66.25","830.36K","0.97%"
"28-10-2024","66.06","65.88","66.59","65.88","2.43M","0.38%"
"25-10-2024","65.81","66.50","66.50","65.51","859.30K","-0.68%"
"24-10-2024","66.26","66.30","66.30","65.80","310.70K","-0.45%"
"23-10-2024","66.56","66.11","67.05","66.11","1.46M","0.68%"
"22-10-2024","66.11","66.14","66.45","65.71","769.75K","-0.05%"
"21-10-2024","66.14","65.61","68.00","65.61","1.12M","0.84%"
"18-10-2024","65.59","65.00","65.65","65.00","859.12K","1.16%"
"17-10-2024","64.84","64.81","64.98","64.66","657.09K","0.05%"
"16-10-2024","64.81","64.32","64.86","64.32","1.92M","0.89%"
"15-10-2024","64.24","64.35","64.37","63.91","139.21K","-0.23%"
"14-10-2024","64.39","64.99","64.99","63.97","568.16K","0.66%"
"11-10-2024","63.97","63.55","64.20","63.55","1.20M","0.87%"
"10-10-2024","63.42","63.39","63.70","63.15","1.08M","0.03%"
"09-10-2024","63.40","63.63","63.63","63.12","2.71M","-0.75%"
"08-10-2024","63.88","64.10","64.10","63.63","880.16K","-0.47%"
"07-10-2024","64.18","64.30","64.70","63.83","1.13M","-0.23%"
"04-10-2024","64.33","64.26","64.69","64.26","1.16M","0.48%"
"03-10-2024","64.02","64.70","64.70","63.92","1.55M","-0.19%"
"01-10-2024","64.14","65.04","65.04","63.52","2.44M","0.28%"
"30-09-2024","63.96","64.15","64.30","63.62","503.90K","0.02%"
"27-09-2024","63.95","64.23","64.58","63.81","759.96K","-0.45%"
"26-09-2024","64.24","63.93","64.39","63.93","933.39K","0.47%"
"25-09-2024","63.94","63.62","64.14","63.62","11.54M","0.90%"
"24-09-2024","63.37","63.32","63.64","63.23","2.25M","0.27%"
"23-09-2024","63.20","62.83","63.44","62.82","417.53K","0.59%"
"20-09-2024","62.83","62.47","62.94","62.36","692.32K","0.58%"
"19-09-2024","62.47","62.09","62.85","61.76","1.98M","0.55%"
"18-09-2024","62.13","62.68","62.68","62.00","292.08K","-0.13%"
"17-09-2024","62.21","62.49","62.59","62.15","465.76K","-0.43%"
"16-09-2024","62.48","62.28","62.80","62.25","2.07M","0.64%"
"13-09-2024","62.08","61.72","62.28","61.68","907.98K","1.75%"
"12-09-2024","61.01","61.13","61.27","60.82","737.86K","-0.21%"
"11-09-2024","61.14","61.70","61.70","60.75","573.33K","0.71%"
"10-09-2024","60.71","60.45","60.83","60.35","323.47K","0.43%"
"09-09-2024","60.45","60.90","60.98","60.36","352.19K","-0.89%"
"06-09-2024","60.99","61.04","61.90","60.95","2.45M","-0.08%"
"05-09-2024","61.04","60.36","61.11","60.36","1.07M","1.13%"
"04-09-2024","60.36","60.48","60.69","60.22","323.53K","-0.71%"
"03-09-2024","60.79","60.98","60.98","60.50","277.24K","-0.02%"
