"Date","Price","Open","High","Low","Vol.","Change %"
"21-05-2025","85.600","85.537","85.702","85.486","","0.07%"
"20-05-2025","85.540","85.370","85.659","85.344","","0.18%"
"19-05-2025","85.390","85.463","85.640","85.336","","-0.13%"
"16-05-2025","85.500","85.445","85.700","85.252","","-0.05%"
"15-05-2025","85.546","85.400","85.741","85.348","","0.18%"
"14-05-2025","85.395","85.038","85.522","85.006","","0.14%"
"13-05-2025","85.275","84.838","85.480","84.630","","0.46%"
"12-05-2025","84.885","84.695","84.959","84.592","","-0.61%"
"09-05-2025","85.409","85.884","85.952","85.284","","-0.15%"
"08-05-2025","85.536","84.778","85.810","84.528","","0.96%"
"07-05-2025","84.721","84.647","84.909","84.473","","0.49%"
"06-05-2025","84.305","84.370","84.637","84.250","","0.01%"
"05-05-2025","84.295","84.491","84.525","84.114","","-0.27%"
"02-05-2025","84.527","84.657","84.685","83.765","","-0.07%"
"01-05-2025","84.590","84.609","84.745","84.552","","-0.01%"
"30-04-2025","84.599","85.220","85.268","84.466","","-0.65%"
"29-04-2025","85.155","85.160","85.408","84.945","","-0.01%"
"28-04-2025","85.163","85.382","85.419","84.949","","-0.26%"
"25-04-2025","85.385","85.293","85.660","85.085","","0.07%"
"24-04-2025","85.326","85.515","85.671","85.239","","-0.03%"
"23-04-2025","85.350","85.221","85.533","85.208","","0.20%"
"22-04-2025","85.180","85.159","85.239","85.049","","0.00%"
"21-04-2025","85.180","85.378","85.379","85.025","","-0.32%"
"18-04-2025","85.457","85.409","85.505","85.390","","0.08%"
"17-04-2025","85.390","85.602","85.631","85.313","","-0.26%"
"16-04-2025","85.614","85.713","85.773","85.515","","-0.11%"
"15-04-2025","85.709","86.023","86.023","85.585","","-0.39%"
"14-04-2025","86.048","86.036","86.110","85.869","","-0.18%"
"11-04-2025","86.200","86.244","86.269","85.935","","0.00%"
"10-04-2025","86.200","86.146","86.334","86.118","","-0.53%"
"09-04-2025","86.660","86.353","86.751","86.353","","0.48%"
"08-04-2025","86.250","85.943","86.306","85.812","","0.43%"
"07-04-2025","85.882","85.611","85.913","85.568","","0.41%"
"04-04-2025","85.530","85.282","85.641","84.932","","0.30%"
"03-04-2025","85.275","85.804","85.813","85.203","","-0.22%"
"02-04-2025","85.465","85.611","85.726","85.432","","-0.13%"
"01-04-2025","85.580","85.459","85.660","85.451","","0.14%"
"31-03-2025","85.460","85.459","85.558","85.417","","-0.09%"
"28-03-2025","85.539","85.680","85.739","85.403","","-0.13%"
"27-03-2025","85.650","85.795","85.915","85.625","","0.00%"
"26-03-2025","85.653","85.616","85.895","85.596","","0.05%"
"25-03-2025","85.611","85.532","85.830","85.531","","0.05%"
"24-03-2025","85.570","85.990","86.046","85.475","","-0.49%"
"21-03-2025","85.995","86.325","86.344","85.916","","-0.39%"
"20-03-2025","86.330","86.337","86.418","86.185","","0.01%"
"19-03-2025","86.320","86.574","86.675","86.301","","-0.23%"
"18-03-2025","86.520","86.659","86.783","86.509","","-0.21%"
"17-03-2025","86.700","86.957","86.973","86.691","","-0.28%"
"14-03-2025","86.946","86.923","87.004","86.871","","0.02%"
"13-03-2025","86.925","87.153","87.201","86.923","","-0.27%"
"12-03-2025","87.160","87.183","87.311","87.149","","-0.05%"
"11-03-2025","87.203","87.332","87.390","87.141","","-0.11%"
"10-03-2025","87.300","87.139","87.381","87.138","","0.22%"
"07-03-2025","87.110","87.149","87.220","86.857","","0.08%"
"06-03-2025","87.039","86.872","87.166","86.868","","0.17%"
"05-03-2025","86.890","87.271","87.346","86.876","","-0.45%"
"04-03-2025","87.283","87.334","87.408","87.134","","0.01%"
"03-03-2025","87.270","87.449","87.449","87.239","","-0.23%"
"28-02-2025","87.471","87.320","87.559","87.266","","0.15%"
"27-02-2025","87.340","87.108","87.427","87.106","","0.23%"
"26-02-2025","87.141","87.086","87.192","87.014","","0.00%"
"25-02-2025","87.140","86.698","87.263","86.674","","0.54%"
"24-02-2025","86.670","86.655","86.762","86.506","","0.08%"
"21-02-2025","86.600","86.509","86.779","86.456","","0.01%"
"20-02-2025","86.589","86.902","86.926","86.542","","-0.36%"
"19-02-2025","86.900","86.925","86.958","86.815","","0.01%"
"18-02-2025","86.895","86.855","86.987","86.837","","0.07%"
"17-02-2025","86.837","86.676","86.908","86.632","","0.24%"
"14-02-2025","86.630","86.779","86.905","86.562","","-0.08%"
"13-02-2025","86.700","86.950","87.014","86.693","","-0.24%"
"12-02-2025","86.910","86.796","87.034","86.327","","0.13%"
"11-02-2025","86.794","87.476","87.566","86.639","","-0.78%"
"10-02-2025","87.474","87.994","87.997","87.429","","-0.21%"
"07-02-2025","87.655","87.598","87.655","87.309","","0.08%"
"06-02-2025","87.585","87.336","87.676","87.334","","0.28%"
"05-02-2025","87.341","87.075","87.501","87.075","","0.30%"
"04-02-2025","87.080","86.977","87.142","86.948","","0.13%"
"03-02-2025","86.970","86.916","87.305","86.892","","0.47%"
"31-01-2025","86.561","86.667","86.682","86.550","","-0.01%"
"30-01-2025","86.572","86.553","86.661","86.536","","-0.08%"
"29-01-2025","86.640","86.566","86.648","86.485","","0.06%"
"28-01-2025","86.589","86.395","86.596","86.391","","0.27%"
"27-01-2025","86.360","86.244","86.459","86.234","","0.17%"
"24-01-2025","86.210","86.453","86.478","86.150","","-0.27%"
"23-01-2025","86.440","86.475","86.531","86.370","","-0.02%"
"22-01-2025","86.455","86.452","86.601","86.297","","0.00%"
"21-01-2025","86.457","86.211","86.623","86.211","","0.28%"
"20-01-2025","86.214","86.564","86.584","86.201","","-0.42%"
"17-01-2025","86.576","86.610","86.671","86.521","","0.00%"
