"Date","Price","Open","High","Low","Vol.","Change %"
"11-03-2025","72.08","72.17","72.47","71.71","6.12M","-0.12%"
"10-03-2025","72.17","71.99","72.49","71.92","7.89M","-0.06%"
"07-03-2025","72.21","72.57","72.57","71.83","10.71M","0.45%"
"06-03-2025","71.89","72.85","72.85","71.78","10.74M","-0.53%"
"05-03-2025","72.27","72.58","72.58","72.12","11.55M","-0.21%"
"04-03-2025","72.42","72.47","72.49","71.52","11.32M","1.49%"
"03-03-2025","71.36","71.60","71.60","70.66","11.45M","0.37%"
"28-02-2025","71.10","71.64","71.64","70.53","31.52M","-1.09%"
"27-02-2025","71.88","72.68","72.68","71.51","27.17M","-1.20%"
"25-02-2025","72.75","73.18","73.18","72.37","13.14M","0.21%"
"24-02-2025","72.60","72.88","72.88","72.12","14.41M","0.72%"
"21-02-2025","72.08","72.68","72.68","71.75","11.84M","-0.57%"
"20-02-2025","72.49","73.18","73.18","72.35","12.55M","-0.33%"
"19-02-2025","72.73","72.88","72.88","72.03","11.83M","1.04%"
"18-02-2025","71.98","72.00","72.14","71.64","20.26M","0.46%"
"17-02-2025","71.65","71.68","71.70","70.93","14.98M","-0.79%"
"14-02-2025","72.22","71.86","72.35","71.62","10.51M","0.49%"
"13-02-2025","71.87","72.58","72.58","71.68","13.21M","0.56%"
"12-02-2025","71.47","71.97","71.97","71.01","17.81M","-0.71%"
"11-02-2025","71.98","73.45","73.45","71.80","26.89M","-0.74%"
"10-02-2025","72.52","73.70","73.70","71.00","31.55M","1.37%"
"07-02-2025","71.54","73.55","73.55","71.20","22.37M","0.15%"
"06-02-2025","71.43","71.72","71.93","70.91","30.06M","-0.20%"
"05-02-2025","71.57","72.20","72.20","70.28","25.72M","2.13%"
"04-02-2025","70.08","71.75","71.75","69.70","15.16M","0.63%"
"03-02-2025","69.64","70.00","70.00","68.47","13.68M","1.00%"
"01-02-2025","68.95","70.00","70.00","68.40","15.76M","-0.19%"
"31-01-2025","69.08","68.62","70.00","68.62","15.64M","1.45%"
"30-01-2025","68.09","68.22","68.22","67.72","11.53M","0.34%"
"29-01-2025","67.86","68.29","68.29","67.80","7.05M","0.41%"
"28-01-2025","67.58","67.69","67.69","67.37","14.63M","-0.16%"
"27-01-2025","67.69","68.39","68.39","67.40","16.53M","-0.12%"
"24-01-2025","67.77","67.62","68.12","67.62","14.87M","0.50%"
"23-01-2025","67.43","67.66","67.90","67.33","9.48M","-0.28%"
"22-01-2025","67.62","67.25","67.69","67.06","11.58M","1.00%"
"21-01-2025","66.95","68.60","68.60","66.35","7.59M","0.54%"
"20-01-2025","66.59","66.60","67.29","66.47","7.92M","-0.11%"
"17-01-2025","66.66","66.65","66.87","66.61","9.52M","0.11%"
"16-01-2025","66.59","66.32","66.80","66.30","12.11M","0.50%"
"15-01-2025","66.26","68.00","68.00","65.88","7.11M","0.33%"
"14-01-2025","66.04","66.28","66.28","65.70","15.91M","-0.32%"
"13-01-2025","66.25","65.71","67.94","65.71","31.22M","0.49%"
"10-01-2025","65.93","65.89","66.09","64.98","12.77M","0.81%"
"09-01-2025","65.40","66.12","66.12","65.21","8.57M","0.43%"
"08-01-2025","65.12","66.70","66.70","64.80","7.08M","0.54%"
"07-01-2025","64.77","66.55","66.55","64.62","10.75M","0.25%"
"06-01-2025","64.61","65.07","65.63","64.34","9.12M","-0.71%"
"03-01-2025","65.07","65.29","65.74","64.93","9.22M","0.73%"
"02-01-2025","64.60","66.30","66.30","64.35","7.66M","0.39%"
"01-01-2025","64.35","65.09","65.09","64.02","9.54M","0.41%"
"31-12-2024","64.09","63.63","64.12","63.63","8.80M","0.14%"
"30-12-2024","64.00","64.54","65.00","63.91","5.11M","-0.33%"
"27-12-2024","64.21","65.90","65.90","64.05","5.65M","0.33%"
"26-12-2024","64.00","64.14","64.20","63.82","3.93M","0.50%"
"24-12-2024","63.68","62.80","64.74","62.80","4.18M","-0.45%"
"23-12-2024","63.97","64.32","66.69","63.61","5.68M","1.03%"
"20-12-2024","63.32","63.05","63.63","63.05","6.38M","-0.72%"
"19-12-2024","63.78","63.78","63.83","63.35","10.20M","-0.93%"
"18-12-2024","64.38","66.00","66.00","63.91","4.90M","0.44%"
"17-12-2024","64.10","66.40","66.40","64.02","6.35M","-0.59%"
"16-12-2024","64.48","64.55","64.55","64.14","6.51M","-0.20%"
"13-12-2024","64.61","66.70","66.70","64.33","9.89M","-1.34%"
"12-12-2024","65.49","65.48","65.64","65.14","8.91M","0.69%"
"11-12-2024","65.04","64.91","66.17","64.91","12.99M","0.57%"
"10-12-2024","64.67","65.14","66.70","64.57","9.97M","0.59%"
"09-12-2024","64.29","64.55","64.55","63.81","8.77M","0.47%"
"06-12-2024","63.99","63.95","64.05","63.67","6.71M","-0.11%"
"05-12-2024","64.06","64.75","64.75","64.00","9.22M","0.08%"
"04-12-2024","64.01","64.38","64.38","63.81","7.14M","-0.08%"
"03-12-2024","64.06","64.80","64.80","63.82","6.88M","0.47%"
"02-12-2024","63.76","64.08","64.08","63.17","11.57M","-0.82%"
"29-11-2024","64.29","64.17","64.48","62.80","6.94M","0.39%"
"28-11-2024","64.04","63.86","64.11","63.32","6.34M","0.13%"
"27-11-2024","63.96","64.88","64.88","63.45","12.66M","0.90%"
"26-11-2024","63.39","63.85","63.85","62.99","14.36M","-1.54%"
"25-11-2024","64.38","64.98","64.98","64.10","13.43M","-1.45%"
"22-11-2024","65.33","66.50","66.50","64.61","12.56M","1.18%"
"21-11-2024","64.57","64.85","64.85","63.88","12.06M","1.33%"
"19-11-2024","63.72","64.70","64.70","63.21","11.16M","1.30%"
"18-11-2024","62.90","62.75","63.00","62.42","12.49M","1.80%"
"14-11-2024","61.79","62.48","62.49","61.67","16.06M","-2.31%"
"13-11-2024","63.25","63.39","63.40","62.85","9.28M","0.65%"
"12-11-2024","62.84","63.74","63.75","62.78","17.38M","-2.56%"
"11-11-2024","64.49","64.73","64.75","64.36","8.38M","-0.78%"
"08-11-2024","65.00","64.53","65.49","64.53","13.57M","1.04%"
"07-11-2024","64.33","64.90","64.90","64.01","21.29M","-1.92%"
"06-11-2024","65.59","66.50","66.63","65.01","15.00M","-0.53%"
"05-11-2024","65.94","66.12","66.14","65.63","14.65M","-0.12%"
"04-11-2024","66.02","66.90","66.90","65.79","14.82M","-0.90%"
"01-11-2024","66.62","66.90","66.92","64.90","10.74M","-0.45%"
"31-10-2024","66.92","67.58","67.58","66.81","14.36M","-0.15%"
"30-10-2024","67.02","67.00","67.38","66.60","15.44M","1.09%"
"29-10-2024","66.30","66.25","66.63","66.05","17.93M","0.79%"
"28-10-2024","65.78","65.90","65.95","65.56","13.64M","0.50%"
"25-10-2024","65.45","66.13","66.13","65.39","11.75M","-0.46%"
"24-10-2024","65.75","65.87","65.88","65.38","13.33M","-0.62%"
"23-10-2024","66.16","66.28","66.28","65.90","14.86M","0.65%"
"22-10-2024","65.73","67.40","67.40","65.60","11.42M","-0.09%"
"21-10-2024","65.79","65.99","66.28","65.51","15.56M","0.94%"
"18-10-2024","65.18","65.30","65.60","64.86","10.81M","1.15%"
"17-10-2024","64.44","64.50","64.86","64.22","7.01M","0.00%"
"16-10-2024","64.44","64.34","64.64","63.91","7.81M","0.91%"
"15-10-2024","63.86","64.11","64.12","63.52","7.12M","-0.19%"
"14-10-2024","63.98","63.62","64.28","63.62","10.38M","0.69%"
"11-10-2024","63.54","64.90","64.90","63.11","6.00M","0.84%"
"10-10-2024","63.01","63.34","63.34","62.60","9.39M","-0.02%"
"09-10-2024","63.02","63.41","63.41","62.47","10.06M","-0.68%"
"08-10-2024","63.45","64.00","64.00","63.05","10.83M","-0.56%"
"07-10-2024","63.81","64.50","64.50","63.50","13.00M","-0.28%"
"04-10-2024","63.99","63.58","64.38","63.58","15.73M","0.47%"
"03-10-2024","63.69","65.30","65.30","63.10","18.38M","0.16%"
"01-10-2024","63.59","65.45","65.45","63.14","12.06M","0.06%"
"30-09-2024","63.55","65.40","65.40","63.01","9.66M","0.11%"
"27-09-2024","63.48","64.00","64.09","63.43","11.65M","-0.45%"
"26-09-2024","63.77","63.87","63.88","63.51","9.34M","0.17%"
"25-09-2024","63.66","63.43","63.87","63.42","16.22M","1.06%"
"24-09-2024","62.99","63.00","63.14","62.86","9.66M","0.29%"
